record_id,error_type,parse_error
5,token invalide (caractère illégal ou tag malformé),"not well-formed (invalid token): line 2, column 10"
6,token invalide (caractère illégal ou tag malformé),"not well-formed (invalid token): line 2, column 10"
47,token invalide (caractère illégal ou tag malformé),"not well-formed (invalid token): line 2, column 10"
89,token invalide (caractère illégal ou tag malformé),"not well-formed (invalid token): line 2, column 10"
118,tag non fermé / mal fermé,"mismatched tag: line 73, column 6"
211,token invalide (caractère illégal ou tag malformé),"not well-formed (invalid token): line 2, column 10"
212,token invalide (caractère illégal ou tag malformé),"not well-formed (invalid token): line 2, column 12"
261,token invalide (caractère illégal ou tag malformé),"not well-formed (invalid token): line 2, column 10"
273,tag non fermé / mal fermé,"mismatched tag: line 72, column 2"
291,token invalide (caractère illégal ou tag malformé),"not well-formed (invalid token): line 6, column 56"
302,tag non fermé / mal fermé,"mismatched tag: line 23, column 10"
325,token invalide (caractère illégal ou tag malformé),"not well-formed (invalid token): line 6, column 68"
349,tag non fermé / mal fermé,"mismatched tag: line 73, column 6"
481,token invalide (caractère illégal ou tag malformé),"not well-formed (invalid token): line 2, column 10"
482,token invalide (caractère illégal ou tag malformé),"not well-formed (invalid token): line 6, column 56"
531,token invalide (caractère illégal ou tag malformé),"not well-formed (invalid token): line 2, column 10"
